title,code,categories
@ %nl% does as <br> @ opening line comments  &#x2c is comma
@
@ if a category appears duplicate, check the extra spaces

Using template literals to concatenate strings and variables,let firstName = "John";%nl%let lastName = "Doe";%nl%let fullName = `${firstName} ${lastName}`;%nl%console.log(fullName); // Output: "John Doe",JavaScript;Strings;Template Literals,

Using the Array.every method to check if all elements in an array pass a test,let numbers = [10&#x2c 20&#x2c 30&#x2c 40&#x2c 50];%nl%let allGreaterThan5 = numbers.every((num) => num > 5);%nl%console.log(allGreaterThan5); // Output: true,JavaScript;Arrays;Methods,

Using a Set to remove duplicate values from an array,let numbers = [1&#x2c 2&#x2c 3&#x2c 2&#x2c 1&#x2c 4&#x2c 5&#x2c 4];%nl%let uniqueNumbers = [...new Set(numbers)];%nl%console.log(uniqueNumbers); // Output: [1&#x2c 2&#x2c 3&#x2c 4&#x2c 5],JavaScript;Arrays;Set,

Using the Array.includes method to check if an array contains a specific value,let fruits = ["apple"&#x2c "banana"&#x2c "orange"&#x2c "grape"];%nl%let hasBanana = fruits.includes("banana");%nl%console.log(hasBanana); // Output: true,JavaScript;Arrays;Methods,

Using object destructuring to extract values from an object,let person = {name: "John"&#x2c age: 30&#x2c city: "New York"};%nl%let {name&#x2c age} = person;%nl%console.log(name); // Output: "John"%nl%console.log(age); // Output: 30,JavaScript;Objects;Destructuring,

Using the Array.prototype.reduce method to accumulate a value from an array,let numbers = [1&#x2c 2&#x2c 3&#x2c 4&#x2c 5];%nl%let sum = numbers.reduce((accumulator&#x2c currentValue) => accumulator + currentValue&#x2c 0);%nl%console.log(sum); // Output: 15,JavaScript;Arrays;Methods,

Using the Array.prototype.filter method to filter elements of an array,let numbers = [1&#x2c 2&#x2c 3&#x2c 4&#x2c 5];%nl%let evenNumbers = numbers.filter((num) => num % 2 === 0);%nl%console.log(evenNumbers); // Output: [2&#x2c 4],JavaScript;Arrays;Methods,

Using the Array.prototype.map method to iterate over an array,let numbers = [1&#x2c 2&#x2c 3&#x2c 4&#x2c 5];%nl%let doubled = numbers.map((num) => num * 2);%nl%console.log(doubled); // Output: [2&#x2c 4&#x2c 6&#x2c 8&#x2c 10],JavaScript;Arrays;Methods,

Creating a JavaScript object,let person = { %nl% firstName: "John"&#x2c; %nl% lastName: "Doe"&#x2c; %nl% age: 30 %nl%}; %nl%console.log(person);,JavaScript;Objects,

Adding properties to an object,let person = {}; %nl%person.firstName = "John"; %nl%person.lastName = "Doe"; %nl%person.age = 30; %nl%console.log(person);,JavaScript;Objects,

Basic for loop,for (let i = 0&#x2c; i < 10&#x2c; i++) { %nl% console.log(i); %nl%},JavaScript;Loops,

Basic while loop,let i = 0; %nl%while (i < 10) { %nl% console.log(i); %nl% i++; %nl%},JavaScript;Loops,

Array forEach method,const arr = [1&#x2c; 2&#x2c; 3]; %nl%arr.forEach(function (item) { %nl% console.log(item); %nl%});,JavaScript;Arrays;Loops,

Anonymous function,const myFunc = function () { %nl% console.log("This is an anonymous function"); %nl%}; %nl%myFunc();,JavaScript;Functions,

Arrow function,const myFunc = () => { %nl% console.log("This is an arrow function"); %nl%}; %nl%myFunc();,JavaScript;Functions;ES6,

Adding items to an array,const arr = []; %nl%arr.push(1); %nl%arr.push(2); %nl%arr.push(3); %nl%console.log(arr);,JavaScript;Arrays,
Accessing array elements,const arr = [1&#x2c; 2&#x2c; 3]; %nl%console.log(arr[0]); %nl%console.log(arr[1]); %nl%console.log(arr[2]);,JavaScript;Arrays,

Basic if-else statement,let number = 42; %nl%if (number % 2 === 0) { %nl% console.log("Even"); %nl%} else { %nl% console.log("Odd"); %nl%},JavaScript;Control Flow,

Creating a promise,const myPromise = new Promise((resolve&#x2c; reject) => { %nl% setTimeout(() => { %nl% resolve("Success!"); %nl% }&#x2c; 1000); %nl%}); %nl%myPromise.then((value) => console.log(value));,JavaScript;Promises;Asynchronous,

Using async/await,async function myAsyncFunction() { %nl% const result = await new Promise((resolve) => setTimeout(() => resolve("Success!")&#x2c; 1000)); %nl% console.log(result); %nl%} %nl%myAsyncFunction();,JavaScript;Async/Await;Asynchronous,

Basic switch statement,const animal = "cat"; %nl%switch (animal) { %nl% case "dog": %nl% console.log("Woof!"); %nl% break; %nl% case "cat": %nl% console.log("Meow!"); %nl% break; %nl% default: %nl% console.log("Unknown animal"); %nl%},JavaScript;Control Flow,

